,Text
211,"@bryanvezina left out SBUX and YUMC on purpose, forgot WING"
212,as it should be https://t.co/KdBatrqeOh
213,@jposhaughnessy don't we all in these trying times
214,@bryanvezina please submit a receipt for a full refund
215,RT @theoldcfo: The creator of the American Eater Recognition Award addresses a Twitter question. https://t.co/zbvXT8imQx
216,@Clearingfog_ @retail_risk vfinal3_MDedit8PM
217,"@MasaSonCap their premium burgers, no bun + salad = great"
218,$MCD $YUM $QSR $DRI $DPZ $CMG $DNKN $TXRH $WEN $CBRL $JACK $BLMN $SHAK $CAKE $PZZA $EAT $DIN $DENN $BJRI $RRGB… https://t.co/pSqmKNkQQm
219,RT @JackPosobiec: Trump was immediately vindicated on this https://t.co/FXuB3ItMo5
220,RT @jawillick: One problem is Twitter is now implicitly endorsing content they *don’t* flag.
221,RT @TeddyVallee: Preliminary credit card volume growth -25% YoY in May https://t.co/ChhROrtEbt
222,"RT @DoEcorruption: 🤔 ""..it might be problematic for word to get out that the DOE is encouraging folks to make noise in response to PLACE..I…"
223,@BitcoinMunger @UnHedgedChatter @conorsen thanks- it's the data viz module
224,nature is healing and The American Eater Wins Again https://t.co/slgIbBrh53
225,@NonGaap your old friends? https://t.co/ug5yALJnQJ
226,@RaphaelKahan @dolomost could be too high... imagine the brownfield liabilities in some old printing facility
227,"@RaphaelKahan @EllliotttB @Molson_Hart if anyone follows me for ""quality"", they deserve what is coming"
228,"@RaphaelKahan @Molson_Hart the Cramer of industrial deals. Love this segment. Call in with your deal, get a take."
229,"@RaphaelKahan here's a good one 8.5% for a community newspapers org

https://t.co/sYzliPf0Bp"
230,@RaphaelKahan how about this one? Very standard (for the US) new-ish large WMT distr center.… https://t.co/TESNkpXMat
231,"@RaphaelKahan this was a carpet store. Drove by it on Sunday. What do you think?
https://t.co/U7cVVsEyGH"
232,@conorsen YoY is better https://t.co/4FxO4D1AWE
233,RT @BrennanSpiegel: This graph is amazing. It shows that measuring #SARSCoV2 levels in municipal sewage almost perfectly predicts forthcomi…
234,"RT @boriquagato: 6 states in the US adopted this policy of forcing nursing homes to take COV patients to ""protect hospitals"".

these homes…"
235,"RT @lesliebrody: Just 1,400 filers making $10 million or more accounted for 17% of NYC revenues from income taxes. Important story on poten…"
236,"This should be interesting after the PTJ ""white paper"" https://t.co/7ECcUnKgFx"
237,imagine if the MSM focused on situations like these instead of the RU hoax https://t.co/D46Uf3vukN
238,@WallStCynic https://t.co/xBnRgw5Ytu
239,"RT @HedgeyeDDale: Air travel, hotel &amp; restaurant bookings are among early signs the US economy is slowly creeping back to life https://t.co…"
240,RT @FirstSquawk: MORE THAN 90 COUNTRIES REQUEST IMF BAILOUT
241,"Endorse. 
It is easier than ever to do CVRs/tracking stock/royalty/ kickstarter type instruments. The regulations s… https://t.co/GOOOzfIYSk"
242,RT @HayekAndKeynes: This graphic helps highlight things better than words... https://t.co/JCMu0w0rcS
243,"RT @TundeTASH: Sites offering Free subscriptions to students during lockdown:

1. Scholastic
2. Khan Academy
3. Circletime
4. Club SciKidz…"
244,RT @drudgefeed: Germany to Bail Out LUFTHANSA... https://t.co/jJR84Ez9T6
245,$WMG @warnermusic launching IPO... I bet they will have best-in-class Hold music
246,@Zackfoot cc @NickatFP (have landlords accepted this as an answer from tenants?)
247,"RT @BankruptcyData: LATAM Airlines Group S.A. - $LTM Latin America's Largest Airline Group (14th Globally) Files Chapter 11, Turns to Share…"
248,RT @UreshP: 1996 - https://t.co/9vTEGY4dku
249,RT @bluff_capital: $M $JCP This chart shows just how much America’s malls are incredibly dependent on struggling retailers https://t.co/T14…
250,RT @AthanaDiplas: The frequency of CDS credit events is measured in Hertz.
251,"@WillRayValentin recently discovered c. 1910 Picasso from his ""Texas Period"" (sold for $35 mm, above $7 mm estimate)"
252,@petershk but it's true; very doubtful I have found free money in two widely followed securities
253,"feels like LT atm BRK IV is low vs LT SPY IV (~27.5 vs ~25 Jan 22) (warning: no idea what I am doing, brk cash/share, etc.)"
254,RT @RudyHavenstein: Now @GavinNewsom wants us to stand six-feet back from urinals. I will violate this law. https://t.co/7NBYUiENZi
255,RT @ReutersUK: Wirecard again postpones 2019 results publication https://t.co/qmAeAp5Sar https://t.co/mGshPaSghN
256,"@Morgan_03 isn't there a shortseller rider group? The instructor screams out things like ""10-K delay!"" and ""new ris… https://t.co/uYvrCocwlP"
257,@fischersblack @retail_risk well played
258,Mets pitcher Noah Syndergaard sued for missing $27K rent on NYC apartment (cc @NickatFP ) https://t.co/0rXMUH3yD7
259,"@EddyElfenbein a lot of victorian-style mcmansions there, I see"
260,"""People also ask"" https://t.co/mGdMeCq8kH"
261,$COST has released the approved summer looks https://t.co/faSeQ9uRHu
262,RT @RexChapman: This brother helping his sister get buckets is definitely the Twitter content I’m here for...🌎❤️🏀❤️https://t.co/VwlP2mHY8j
263,"RT @sindap: Hertz 1st day declaration good read to understand its business model. Yeah, revenue crashed but plunging used-car prices create…"
264,RT @RealMarkEbner: When you feel that your ankle monitor doesn't say enough about you. https://t.co/YGk7F5dAu3
265,RT @chigrl: Whipped cream is #4 ? #Japan https://t.co/zuW4V0wU5P
266,RT @lewislehe: love these charts https://t.co/xhnbLYIZ1l
267,"@Supreme_Owl_FTW care: familiar music for calming
prevention: never cook or eat in aluminium"
268,"Also, a very random find: 30 yrs ago to the day, without Twitter, Joe had to find an outlet for his self-expression… https://t.co/yVLB1qKtki"
269,"Beavers at work, snake, deer https://t.co/LlaMXtDJbU"
270,https://t.co/3EBP1Op72n
271,Fahnestock State Park 1/n https://t.co/9f0lbWAATl
272,@jposhaughnessy what a great pic! and Happy Birthday!
273,"RT @crampell: On @CNNSotu, White House economic adviser Kevin Hassett says Trump is considering a cap gains tax ""holiday"" https://t.co/IiYe…"
274,"RT @4xInsight: Trump Halts Entry Into U.S. From Brazil, White House Says"
275,RT @laurenthomas: Here is said chart h/t CoStar https://t.co/4Yopg3iOU3
276,"RT @ernietedeschi: The unemployed are two months away from losing emergency payments.

Small businesses are one month away from losing PPP…"
277,"RT @DoEcorruption: 😮 ""A Chinese-American advocacy group says that having city schools Chancellor Richard Carranza oversee instruction to fi…"
278,@StockCats looks like what @hmeisler just went through https://t.co/1IRXUAD7ry
279,@retail_risk hear me out... what if... they know you better than you think you know yourself? what if they are able… https://t.co/A0ZoWbAD7t
280,Joyless spring series contd... figs and flowers https://t.co/LTByUO6161
281,@_ARTIFEX_ Yes
282,2/2 https://t.co/q3QQBJm9vr
283,Jones Beach 1/2... not bad when empty and cold https://t.co/tpoLQxS9kt
284,"RT @Molson_Hart: Photos in last tweet are not cherry picked. Just tried to photograph as many people as I could.

Thought this building had…"
285,The American Eater Wins Again (thread) https://t.co/5K3PYZBQqa
286,@ToraArota correct
287,@clashflowmodel saw it on medium last week
288,@QTRResearch Jasinski based on a Jefferies report with these estimates
289,@MadisonHereNow thanks
290,The American Eater Wins Again https://t.co/hrcDs6gnfi
291,@BrolinWalters @CrispCastilloo @sftechworker @TheStalwart def a win
292,"$ZROZ vs $GLD YoY % change tracks very closely 
https://t.co/n0ybwNb96T"
293,"$ZROZ vs $GLD kind of look the same on a 5-year chart 
https://t.co/ht6KWLQA7H"
294,"Factcheck: true
- area long https://t.co/yEtKWJFGu5"
295,"RT @Paul91701736: The Final Score: 44,297 to 0. $HTZ https://t.co/7SOedFgQuY"
296,Supposition: asset classes where shorting is common are more reasonable (broadly used) vs. asset classes where it i… https://t.co/ePaAiZpMpP
297,"RT @Mark_Sisson: This is like the 38th literature review to discover the same shocking “paradox”: Full fat dairy, but not low-fat dairy, is…"
298,$FSCT highlighted as the buyer walked. This was a @sprucepointcap sitch. https://t.co/IJlnYXDkFL
299,Positive shoutouts for @MebFaber’s $TAIL ETF https://t.co/GL8ZM5M4NU
300,If you have to ask... https://t.co/PLwRR0B5Bv
301,RT @valueterminal: @BarbarianCap Hilarious... meanwhile back in reality: https://t.co/dzoNYFETvB
302,University admins think they have pricing power. (This is from two admins at Thomas Jefferson U) https://t.co/Sv0w8n9lpC
303,@maybebullish There was sth I read recently that the stocks kicked out of the SPY over the last 3 yrs are dn 40%.
304,Lobster prices down 70%. I think this will bounce with domestic travel up this summer. Bar Harbor will prob be very… https://t.co/5gB6CfBb1t
305,Very slow recovery in businesses open (top) and monthly income loss (bottom) https://t.co/jRVBC7lb8y
306,Index inclusion gaming https://t.co/XFTNXmHOUe
307,"As a published writer on Twitter, I also critique others’ work. Beautiful flow/transitions here by @alexandrascaggs https://t.co/tY7iA54OV9"
308,Strong outdoors “stuff” sales numbers https://t.co/JvjE0wm8mt
309,Barron’s with a ton on the SMB pain https://t.co/Acfi34fNo7
310,@Carnage4Life market leader move
